id,label,degree,closnesscentrality,betweenesscentrality,clustering
0.0,"ABRAMSON, G",2,1.3333333333333333,0.0,1.0
1.0,"KUPERMAN, M",3,1.0,2.0,0.3333333333333333
2.0,"ACEBRON, J",4,1.0,0.0,1.0
3.0,"BONILLA, L",4,1.0,0.0,1.0
4.0,"PEREZVICENTE, C",4,1.0,0.0,1.0
5.0,"RITORT, F",4,1.0,0.0,1.0
6.0,"SPIGLER, R",4,1.0,0.0,1.0
7.0,"ADAMIC, L",4,1.4285714285714286,6.0,0.5
8.0,"ADAR, E",1,2.2857142857142856,0.0,0.0
9.0,"HUBERMAN, B",6,1.1428571428571428,14.0,0.26666666666666666
10.0,"LUKOSE, R",3,1.5714285714285714,0.0,1.0
11.0,"PUNIYANI, A",3,1.5714285714285714,0.0,1.0
12.0,"AERTSEN, A",7,1.0,12.0,0.42857142857142855
13.0,"GERSTEIN, G",3,1.5714285714285714,0.0,1.0
14.0,"HABIB, M",3,1.5714285714285714,0.0,1.0
15.0,"PALM, G",3,1.5714285714285714,0.0,1.0
16.0,"AFRAIMOVICH, V",2,1.0,0.0,1.0
17.0,"VERICHEV, N",2,1.0,0.0,1.0
18.0,"RABINOVICH, M",2,1.0,0.0,1.0
19.0,"AGRAWAL, H",0,0.0,0.0,0.0
20.0,"AHUJA, R",2,1.0,0.0,1.0
21.0,"MAGNANTI, T",2,1.0,0.0,1.0
22.0,"ORLIN, J",2,1.0,0.0,1.0
23.0,"AIELLO, W",2,1.8333333333333333,0.0,1.0
24.0,"CHUNG, F",5,1.1666666666666667,3.5,0.5
25.0,"LU, L",5,1.1666666666666667,3.5,0.5
26.0,"ALBA, R",0,0.0,0.0,0.0
27.0,"ALBERICH, R",2,1.0,0.0,1.0
28.0,"MIROJULIA, J",2,1.0,0.0,1.0
29.0,"ROSSELLO, F",2,1.0,0.0,1.0
30.0,"ALBERT, R",10,4.722222222222222,6516.850268848803,0.26666666666666666
31.0,"ALBERT, I",2,5.716931216931217,0.0,1.0
32.0,"NAKARADO, G",2,5.716931216931217,0.0,1.0
33.0,"BARABASI, A",34,4.6878306878306875,10834.473420370474,0.13368983957219252
34.0,"JEONG, H",27,4.354497354497354,17858.002512812254,0.18233618233618235
35.0,"ALBERTS, B",5,1.0,0.0,1.0
36.0,"BRAY, D",5,1.0,0.0,1.0
37.0,"LEWIS, J",5,1.0,0.0,1.0
38.0,"RAFF, M",5,1.0,0.0,1.0
39.0,"ROBERTS, K",5,1.0,0.0,1.0
40.0,"WATSON, J",5,1.0,0.0,1.0
41.0,"ALDANA, M",0,0.0,0.0,0.0
42.0,"ALDOUS, D",1,1.0,0.0,0.0
43.0,"PITTEL, B",1,1.0,0.0,0.0
44.0,"ALEKSIEJUK, A",2,5.605820105820106,0.0,1.0
45.0,"HOLYST, J",6,5.595238095238095,1497.0,0.3333333333333333
46.0,"STAUFFER, D",12,4.621693121693122,10575.906103966548,0.12121212121212122
47.0,"ALLARIA, E",3,7.296296296296297,0.0,1.0
48.0,"ARECCHI, F",6,6.304232804232805,1125.0,0.4
49.0,"DIGARBO, A",3,7.296296296296297,0.0,1.0
50.0,"MEUCCI, R",3,7.296296296296297,0.0,1.0
51.0,"ALMAAS, E",9,5.507936507936508,3000.7631528602146,0.25
52.0,"KOVACS, B",4,5.58994708994709,0.0,1.0
53.0,"VICSEK, T",16,5.145502645502646,3950.075974025975,0.3333333333333333
54.0,"OLTVAI, Z",21,5.076719576719577,1131.3473692973673,0.2761904761904762
55.0,"KRAPIVSKY, P",9,5.925925925925926,3051.676078771583,0.2222222222222222
56.0,"REDNER, S",8,5.928571428571429,2674.6760787715857,0.2857142857142857
57.0,"KULKARNI, R",3,6.497354497354498,377.0,0.3333333333333333
58.0,"STROUD, D",2,6.5,0.0,1.0
59.0,"ALON, N",2,1.0,0.0,1.0
60.0,"YUSTER, R",2,1.0,0.0,1.0
61.0,"ZWICK, U",2,1.0,0.0,1.0
62.0,"ALON, U",19,1.3666666666666667,251.63333333333335,0.3157894736842105
63.0,"SURETTE, M",9,1.9333333333333333,18.0,0.6666666666666666
64.0,"BARKAI, N",7,2.0,104.0,0.42857142857142855
